               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  38,              1.2039,             0.88225,              1.1228,             0.90547,               0.998,             0.93631,             0.61239,              1.1982,             0.55441,               1.249,            0.002674,            0.002674,            0.002674
                  39,              1.1886,             0.87052,              1.1064,             0.89386,                   1,             0.94774,             0.62344,              1.1579,             0.57312,              1.2266,            0.002476,            0.002476,            0.002476
                  40,              1.1783,             0.86748,              1.1046,             0.88823,             0.99495,             0.94643,             0.62411,              1.1767,             0.56459,               1.233,            0.002278,            0.002278,            0.002278
                  41,              1.1953,             0.86214,              1.1271,             0.89544,             0.99507,              0.9428,               0.602,              1.2355,             0.55761,              1.2679,             0.00208,             0.00208,             0.00208
                  42,              1.1713,             0.85338,              1.1114,             0.89876,             0.99785,             0.93801,             0.61506,              1.2293,             0.54748,              1.2567,            0.001882,            0.001882,            0.001882
                  43,              1.1861,             0.84467,              1.0977,             0.87744,             0.99796,              0.9365,             0.62923,              1.1239,             0.54655,              1.2103,            0.001684,            0.001684,            0.001684
                  44,              1.1571,             0.85232,              1.1265,             0.90105,               0.998,             0.94355,             0.62482,              1.1668,             0.54008,              1.2338,            0.001486,            0.001486,            0.001486
                  45,              1.1494,             0.83584,              1.1388,             0.89935,             0.99507,             0.94377,             0.61927,              1.1655,             0.53395,               1.226,            0.001288,            0.001288,            0.001288
                  46,              1.1718,             0.84782,              1.1087,             0.90732,             0.99507,              0.9404,             0.61962,              1.1745,             0.53336,              1.2331,             0.00109,             0.00109,             0.00109
                  47,              1.1647,             0.83049,              1.1019,             0.89763,             0.99307,             0.93958,             0.61745,              1.1438,             0.52875,              1.2228,            0.000892,            0.000892,            0.000892
                  48,              1.1386,             0.81294,              1.1017,             0.90097,             0.99735,               0.939,             0.62518,              1.1265,             0.51724,              1.2137,            0.000694,            0.000694,            0.000694
                  49,               1.142,             0.81586,              1.0873,             0.89404,             0.99963,             0.93688,             0.63377,              1.1174,             0.51905,              1.2042,            0.000496,            0.000496,            0.000496
